customer_state,is_late,review_score,shipping_days
AL,0.23940149625935161,3.841708542713568,21.07282150527137
MA,0.1955617198335645,3.839385474860335,17.928351424851463
PI,0.15932914046121593,3.9957627118644066,16.278763830656892
CE,0.15366614664586584,3.938087774294671,17.93692697499052
SE,0.15223880597014924,3.907185628742515,17.945988356836363
BA,0.14084937366330583,3.9294516327788047,16.061735032562517
RJ,0.13478260869565217,3.9634394593274163,12.010445424791458
TO,0.12773722627737227,4.153846153846154,14.256073812196153
PA,0.12289915966386554,3.9126730564430243,20.295793249592688
ES,0.12225548902195608,4.082406471183013,12.411434884860222
RR,0.12195121951219512,3.902439024390244,25.64417570010509
MS,0.1151685393258427,4.169014084507042,12.452347066168402
PB,0.11003861003861004,4.077972709551657,16.90617059022512
PE,0.10723192019950124,4.0855345911949685,15.14380207611364
RN,0.10714285714285714,4.150105708245243,15.6662976093152
SC,0.09775280898876404,4.131050099065949,11.6494687109856
GO,0.08206686930091185,4.102903718797759,12.444223780678245
RS,0.07173387846125255,4.185344023867239,12.096528537051682
DF,0.07098618389709385,4.131641933939684,9.816847528803521
MT,0.06749156355455568,4.147392290249433,14.900030256631387
SP,0.058788846579044346,4.246164488474936,5.600207621611317
MG,0.05602731331524118,4.192707415888673,8.769874974066168
PR,0.05018211250505868,4.238259808904249,8.78845970901649
AP,0.04477611940298507,4.242424242424242,23.663523701012636
AM,0.0410958904109589,4.220689655172414,23.483584078523165
AC,0.0375,4.0875,17.55666666669422
RO,0.02880658436213992,4.1652892561983474,16.523372151727937
